Fecha Venta,Descripción,Familia,Cant.,Valor Unitario
2026-08-01,Pizza Hawaiana,Pizzas,2,35000
2026-08-01,Coca Cola 1.5L,Bebidas,1,8000
2026-08-01,Hamburguesa Especial,Hamburguesas,3,22000
2026-08-02,Pizza BBQ,Pizzas,1,42000
2026-08-02,Perro Especial,Perros,2,18000
2026-08-02,Coca Cola 1.5L,Bebidas,2,8000
2026-08-03,Lasaña Mixta,Lasañas,2,28000
2026-08-03,Pizza Hawaiana,Pizzas,1,35000
2026-08-03,Hamburguesa Especial,Hamburguesas,2,22000
2026-08-04,Pizza BBQ,Pizzas,3,42000
2026-08-04,Perro Especial,Perros,1,18000
2026-08-04,Coca Cola 1.5L,Bebidas,3,8000
